                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.3355,                 1.3668,                  1.546,                0.45677,                0.61035,                0.52395,                  0.306,                 1.4037,                 1.3803,                 1.5767,             0.00045285,             0.00045285,             0.00045285
                     72,                 1.3153,                 1.3532,                 1.5342,                0.48689,                0.58889,                0.52967,                0.30984,                 1.4264,                 1.4079,                 1.6006,              0.0004387,              0.0004387,              0.0004387
                     73,                 1.3172,                 1.3374,                 1.5324,                0.41707,                0.54682,                0.48616,                0.28972,                 1.4002,                 1.5471,                 1.5926,             0.00042456,             0.00042456,             0.00042456
                     74,                 1.3109,                 1.3403,                 1.5298,                0.51912,                0.49663,                0.49607,                0.29278,                 1.3926,                 1.4875,                 1.5985,             0.00041041,             0.00041041,             0.00041041
                     75,                 1.3043,                 1.3342,                 1.5242,                0.42019,                0.58395,                0.51291,                0.30988,                  1.379,                 1.4177,                  1.561,             0.00039626,             0.00039626,             0.00039626
                     76,                 1.3022,                 1.3333,                 1.5303,                0.47796,                0.54433,                0.52089,                0.31585,                 1.3993,                 1.4397,                 1.5966,             0.00038211,             0.00038211,             0.00038211
                     77,                 1.2873,                 1.3149,                 1.5168,                0.49655,                0.50675,                0.49047,                 0.2967,                 1.4038,                 1.4535,                 1.6016,             0.00036797,             0.00036797,             0.00036797
                     78,                 1.2932,                 1.2409,                 1.5023,                  0.389,                0.59101,                0.47593,                0.27517,                 1.4224,                 1.5112,                 1.6546,             0.00035382,             0.00035382,             0.00035382
                     79,                 1.2761,                 1.2891,                 1.5035,                0.48823,                0.55197,                0.50483,                0.29932,                 1.4071,                 1.4068,                 1.5795,             0.00033967,             0.00033967,             0.00033967
                     80,                 1.2908,                 1.3047,                 1.5132,                0.38144,                0.58348,                0.48874,                0.28828,                 1.4136,                 1.5769,                 1.5837,             0.00032553,             0.00032553,             0.00032553
                     81,                 1.2766,                 1.2585,                 1.4965,                0.42473,                0.61757,                0.47096,                0.27768,                 1.4049,                 1.4676,                 1.5795,             0.00031138,             0.00031138,             0.00031138
                     82,                 1.2555,                 1.2607,                 1.4784,                0.42619,                0.58891,                0.48277,                0.28546,                 1.3929,                 1.4584,                  1.576,             0.00029723,             0.00029723,             0.00029723
                     83,                  1.259,                 1.2704,                 1.4856,                0.44743,                0.61199,                0.51698,                0.29893,                 1.4088,                 1.4163,                  1.581,             0.00028308,             0.00028308,             0.00028308
                     84,                 1.2773,                  1.271,                 1.4911,                0.45309,                0.61867,                0.52305,                0.31151,                 1.3955,                 1.3958,                 1.5577,             0.00026894,             0.00026894,             0.00026894
                     85,                 1.2642,                 1.2512,                  1.478,                0.41087,                0.61471,                0.48389,                 0.2879,                 1.4128,                 1.4681,                 1.6061,             0.00025479,             0.00025479,             0.00025479
                     86,                  1.252,                 1.2316,                  1.477,                0.41478,                0.61737,                0.47599,                0.27802,                 1.4414,                 1.4481,                 1.6171,             0.00024064,             0.00024064,             0.00024064
                     87,                 1.2495,                   1.23,                 1.4791,                0.48693,                0.58605,                0.53342,                0.31797,                 1.3947,                 1.3962,                 1.5903,              0.0002265,              0.0002265,              0.0002265
                     88,                 1.2432,                 1.2189,                 1.4749,                0.43964,                 0.6549,                0.52466,                0.31361,                 1.3917,                 1.3972,                 1.5685,             0.00021235,             0.00021235,             0.00021235
                     89,                 1.2267,                  1.201,                 1.4523,                0.54529,                0.48009,                0.51386,                0.30276,                 1.4029,                 1.4431,                 1.5773,              0.0001982,              0.0001982,              0.0001982
                     90,                 1.2365,                 1.2115,                 1.4675,                0.45049,                0.63757,                0.51929,                0.31029,                 1.3855,                 1.3757,                 1.5739,             0.00018406,             0.00018406,             0.00018406
                     91,                 1.1649,                0.99461,                 1.3665,                0.43074,                0.62477,                0.50605,                0.29001,                 1.4415,                  1.489,                 1.6043,             0.00016991,             0.00016991,             0.00016991
                     92,                  1.123,                0.90191,                 1.3355,                0.47478,                0.57629,                 0.5235,                0.31448,                 1.3771,                 1.4166,                 1.5573,             0.00015576,             0.00015576,             0.00015576
                     93,                 1.1037,                0.89549,                 1.3194,                0.47051,                0.55379,                0.51272,                0.30833,                 1.3791,                 1.4431,                 1.5806,             0.00014161,             0.00014161,             0.00014161
                     94,                 1.0916,                0.85781,                 1.3161,                 0.4898,                0.55561,                0.52041,                0.30936,                 1.3715,                 1.4513,                 1.5817,             0.00012747,             0.00012747,             0.00012747
                     95,                 1.0829,                0.85562,                 1.3025,                0.49703,                0.56569,                0.51606,                0.31721,                 1.3806,                 1.4312,                 1.5701,             0.00011332,             0.00011332,             0.00011332
                     96,                 1.0834,                0.84613,                 1.3049,                 0.5212,                0.58724,                0.54619,                0.32041,                  1.393,                 1.4328,                  1.581,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                 1.0683,                0.82746,                 1.2985,                0.52106,                0.57805,                0.53491,                0.32088,                 1.3736,                  1.382,                  1.557,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                 1.0569,                0.81897,                 1.2896,                0.51458,                0.58713,                0.55364,                0.33666,                 1.3773,                  1.362,                 1.5601,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                 1.0563,                0.83552,                 1.2849,                 0.5197,                0.61396,                0.54816,                0.32576,                 1.3808,                 1.3867,                 1.5687,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                 1.0578,                0.80051,                 1.2926,                0.49618,                0.60952,                0.55153,                0.33246,                 1.3871,                 1.3873,                 1.5618,             4.2584e-05,             4.2584e-05,             4.2584e-05
