                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.3734,                 1.2927,                 1.5284,                0.41471,                0.58968,                0.49139,                0.26577,                 1.5635,                 1.5701,                 1.6124,             0.00082775,             0.00082775,             0.00082775
                     88,                 1.3679,                 1.3119,                  1.524,                0.51838,                0.54244,                 0.5534,                 0.3036,                 1.5544,                 1.3361,                 1.5899,             0.00082067,             0.00082067,             0.00082067
                     89,                 1.3656,                 1.2879,                 1.5218,                0.46294,                0.60419,                0.55242,                0.30582,                 1.5449,                 1.3671,                 1.5782,              0.0008136,              0.0008136,              0.0008136
                     90,                 1.3471,                 1.2737,                 1.5086,                0.44601,                0.61401,                0.51548,                0.28479,                  1.519,                 1.4304,                 1.5752,             0.00080653,             0.00080653,             0.00080653
                     91,                 1.3425,                 1.2926,                 1.5183,                0.47768,                0.59466,                0.52854,                0.27655,                 1.5724,                 1.4201,                 1.6252,             0.00079945,             0.00079945,             0.00079945
                     92,                 1.3355,                 1.2608,                 1.5135,                0.52959,                0.62524,                0.59834,                0.32135,                 1.5555,                 1.3613,                  1.602,             0.00079238,             0.00079238,             0.00079238
                     93,                 1.3429,                 1.2763,                 1.5069,                0.53658,                0.52791,                0.52974,                 0.2788,                 1.6467,                 1.4364,                 1.6892,             0.00078531,             0.00078531,             0.00078531
                     94,                 1.3298,                 1.2406,                 1.4946,                0.53732,                0.60869,                0.58245,                0.31108,                 1.5621,                 1.3253,                 1.6108,             0.00077823,             0.00077823,             0.00077823
                     95,                 1.3165,                 1.2414,                  1.487,                0.43055,                0.57415,                0.51273,                 0.2542,                 1.7657,                 1.5397,                 1.7664,             0.00077116,             0.00077116,             0.00077116
                     96,                 1.3421,                 1.2422,                 1.4979,                0.51661,                0.60454,                 0.5547,                0.29643,                 1.5554,                 1.4267,                  1.579,             0.00076409,             0.00076409,             0.00076409
                     97,                 1.3289,                 1.2522,                 1.4961,                 0.5472,                0.56362,                0.54472,                0.28931,                 1.6185,                   1.38,                 1.6844,             0.00075701,             0.00075701,             0.00075701
                     98,                 1.3148,                 1.2282,                 1.4883,                0.50934,                0.67061,                0.56919,                0.30805,                 1.5727,                 1.2883,                 1.5948,             0.00074994,             0.00074994,             0.00074994
                     99,                 1.3187,                 1.2502,                 1.4821,                0.39446,                0.61703,                0.48065,                0.25977,                 1.5997,                 1.5883,                 1.6287,             0.00074287,             0.00074287,             0.00074287
                    100,                 1.3003,                  1.212,                 1.4717,                0.54073,                0.54447,                0.54078,                0.28852,                 1.6166,                 1.4765,                 1.6531,             0.00073579,             0.00073579,             0.00073579
                    101,                 1.3047,                  1.195,                 1.4748,                0.56205,                0.56395,                0.56587,                0.31475,                 1.5393,                 1.3371,                 1.5462,             0.00072872,             0.00072872,             0.00072872
                    102,                 1.3036,                  1.202,                 1.4776,                0.52693,                0.52636,                0.54136,                 0.2943,                 1.5384,                  1.371,                 1.5579,             0.00072164,             0.00072164,             0.00072164
                    103,                 1.3067,                 1.2046,                 1.4735,                0.55613,                0.60434,                0.58619,                0.31549,                 1.5351,                 1.3491,                 1.5567,             0.00071457,             0.00071457,             0.00071457
                    104,                 1.3035,                 1.1851,                  1.463,                0.47816,                0.65334,                0.55502,                0.30283,                 1.5361,                 1.3337,                  1.586,              0.0007075,              0.0007075,              0.0007075
                    105,                 1.2986,                 1.1896,                 1.4699,                0.49495,                0.57982,                0.56044,                0.30579,                 1.5393,                 1.3699,                 1.5661,             0.00070042,             0.00070042,             0.00070042
                    106,                 1.2884,                 1.1668,                 1.4568,                0.49067,                0.57304,                0.52677,                0.27477,                  1.679,                 1.4928,                  1.713,             0.00069335,             0.00069335,             0.00069335
                    107,                  1.296,                 1.1695,                 1.4609,                 0.5446,                0.61077,                 0.5645,                0.31129,                 1.5464,                 1.3591,                 1.5824,             0.00068628,             0.00068628,             0.00068628
                    108,                 1.2766,                 1.1686,                 1.4442,                0.48206,                0.62857,                0.54157,                0.29654,                 1.5571,                 1.4455,                    1.6,              0.0006792,              0.0006792,              0.0006792
                    109,                 1.2796,                 1.1471,                 1.4481,                0.47887,                0.57343,                0.52458,                0.28484,                  1.576,                 1.4268,                 1.6104,             0.00067213,             0.00067213,             0.00067213
                    110,                 1.2751,                 1.1459,                 1.4496,                0.51978,                0.59537,                 0.5514,                0.29465,                 1.5299,                  1.331,                 1.5796,             0.00066506,             0.00066506,             0.00066506
                    111,                 1.2635,                 1.1422,                 1.4469,                0.49059,                0.54467,                0.54854,                0.30172,                 1.5495,                 1.3758,                 1.6017,             0.00065798,             0.00065798,             0.00065798
                    112,                 1.2582,                 1.1371,                  1.438,                0.47081,                0.57354,                0.51037,                0.27543,                 1.6142,                 1.4577,                 1.6443,             0.00065091,             0.00065091,             0.00065091
                    113,                 1.2409,                 1.1218,                 1.4246,                0.56094,                 0.5475,                0.55657,                 0.2996,                 1.5484,                 1.3015,                 1.5939,             0.00064384,             0.00064384,             0.00064384
                    114,                 1.2642,                 1.1415,                 1.4354,                0.51578,                0.62062,                0.55712,                0.29905,                 1.5295,                 1.3896,                 1.5856,             0.00063676,             0.00063676,             0.00063676
                    115,                 1.2566,                  1.145,                 1.4334,                0.60937,                0.51594,                0.57062,                0.31416,                 1.5627,                 1.3266,                 1.5968,             0.00062969,             0.00062969,             0.00062969
                    116,                 1.2624,                 1.1197,                 1.4261,                0.54844,                0.54195,                0.53084,                0.28524,                 1.5956,                 1.4529,                 1.6106,             0.00062262,             0.00062262,             0.00062262
