                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                  1.229,                 1.2662,                 1.6104,                0.33458,                0.47118,                 0.3859,                0.23277,                 1.4386,                 1.3899,                 1.8265,             0.00038375,             0.00038375,             0.00038375
                     73,                 1.2351,                 1.2686,                 1.6184,                0.36338,                0.45348,                0.39726,                0.23851,                 1.4339,                 1.3542,                 1.8261,             0.00037138,             0.00037138,             0.00037138
                     74,                  1.228,                 1.2532,                 1.6081,                0.34973,                0.42698,                0.37929,                 0.2325,                 1.4127,                  1.401,                 1.8041,               0.000359,               0.000359,               0.000359
                     75,                 1.2194,                 1.2163,                 1.5983,                0.34002,                0.45018,                0.36766,                0.20731,                 1.4426,                 1.3802,                 1.8445,             0.00034663,             0.00034663,             0.00034663
                     76,                 1.2209,                 1.2513,                  1.605,                0.35274,                  0.457,                0.37657,                0.22142,                 1.4561,                 1.3412,                 1.8321,             0.00033425,             0.00033425,             0.00033425
                     77,                 1.2276,                 1.2604,                 1.5973,                0.39021,                0.39865,                0.38779,                0.22815,                 1.4629,                 1.3311,                 1.8267,             0.00032188,             0.00032188,             0.00032188
                     78,                 1.1993,                 1.1987,                 1.5704,                0.36007,                0.46376,                0.39043,                0.23894,                 1.4097,                 1.3688,                 1.8069,              0.0003095,              0.0003095,              0.0003095
                     79,                 1.2045,                 1.2137,                 1.5922,                0.35086,                0.39152,                0.36667,                0.22821,                 1.4386,                 1.4508,                  1.838,             0.00029713,             0.00029713,             0.00029713
                     80,                 1.2046,                  1.202,                 1.5784,                0.34516,                0.44777,                 0.3926,                0.23558,                 1.4623,                 1.3632,                 1.8464,             0.00028475,             0.00028475,             0.00028475
                     81,                 1.2027,                 1.2016,                 1.5741,                0.32254,                0.43523,                0.36069,                0.21902,                 1.4541,                 1.5082,                 1.8266,             0.00027237,             0.00027237,             0.00027237
                     82,                 1.1769,                  1.174,                  1.559,                 0.3084,                0.42972,                0.36264,                0.21557,                 1.4532,                 1.4366,                 1.8284,                0.00026,                0.00026,                0.00026
                     83,                 1.1845,                 1.1696,                 1.5564,                0.34198,                0.43437,                0.37411,                0.22575,                  1.476,                 1.3853,                 1.8649,             0.00024762,             0.00024762,             0.00024762
                     84,                 1.1661,                  1.164,                 1.5443,                0.34769,                0.42285,                0.37925,                0.22342,                 1.4721,                 1.4216,                 1.8579,             0.00023525,             0.00023525,             0.00023525
                     85,                 1.1626,                 1.1333,                 1.5445,                0.35337,                0.43254,                0.37785,                0.22864,                 1.4805,                 1.4308,                 1.8601,             0.00022288,             0.00022288,             0.00022288
                     86,                 1.1735,                 1.1326,                 1.5537,                0.35237,                0.43414,                0.37372,                 0.2238,                 1.4552,                 1.3872,                 1.8499,              0.0002105,              0.0002105,              0.0002105
                     87,                 1.1643,                 1.1557,                 1.5443,                0.32947,                0.46215,                 0.3853,                 0.2359,                 1.4677,                 1.3786,                 1.8644,             0.00019813,             0.00019813,             0.00019813
                     88,                 1.1751,                 1.1578,                 1.5635,                0.34456,                0.49036,                0.38795,                0.23108,                 1.4738,                 1.3806,                 1.8691,             0.00018575,             0.00018575,             0.00018575
                     89,                 1.1315,                 1.0784,                 1.5213,                0.35419,                 0.4229,                0.37541,                0.22755,                 1.4908,                 1.4394,                  1.873,             0.00017338,             0.00017338,             0.00017338
